State/Tribe,Type of Extreme Weather,Incident Period Start,Incident Period End,Major Disaster Declaration Request,Major Disaster Declaration Decision,Decision Details,Decision Date,Waiting Period,Summary,Lat,Long,ID
Nebraska,Wildfires,3/12/2026,4/2/2026,5/8/2026,Pending,,,7 days and counting,"On 5/8, Nebraska Gov. Jim Pillen (R) requested Public Assistance for 5 counties and statewide Hazard Mitigation.",41.54792279,-102.3286803,1
Mashpee Wampanoag Tribe,Severe Winter Storm and Snowstorm,2/22/2026,2/23/2026,4/22/2026,Pending,,,21 days and counting,"On 4/22, the Mashpee Wampanoag Tribe requested Public Assistance and Hazard Mitigation grants for all of its tribal land.",41.6096891,-70.48463401,2
Native Village of Ambler,Severe Winter Storm,2/19/2026,3/14/2026,4/16/2026,Pending,,,27 days and counting,"On 4/16, the Native Village of Ambler requested Individual Assistance, Public Assistance, and Hazard Mitigation grants for all of its tribal land.",67.08777526,-157.856089,3
Idaho,"Severe Storms, Straight-line Winds, Flooding,
Landslides, and Mudslides",3/11/2026,3/15/2026,4/14/2026,Pending,,,29 days and counting,"On 4/14, Idaho Gov. Brad Little (R) requested Public Assistance for 6 counties and statewide Hazard Mitigation.",47.67323602,-116.8119314,4
Massachusetts,Severe Winter Storm and Snowstorm,2/22/2026,2/23/2026,4/7/2026,Pending,,,36 days and counting,"On 4/7, Massachusetts Gov. Maura Healy (D) requested Public Assistance for 6 counties and statewide Hazard Mitigation.",41.91148004,-71.13183434,5
Rhode Island,Severe Winter Storm and Snowstorm,2/22/2026,2/23/2026,4/7/2026,Pending,,,36 days and counting,"On 4/7, Rhode Island Gov. Dan McKee (D) requested Public Assistance for 5 counties and statewide Hazard Mitigation.",41.82594556,-71.41793128,6
New Jersey,Severe Winter Storm,2/22/2026,2/23/2026,4/7/2026,Pending,,,36 days and counting,"On 4/7, New Jersey Gov. Mikie Sherrill (D) requested Public Assistance for 19 counties and statewide Hazard Mitigation.",39.35630048,-74.44951054,7
Michigan,Severe Storm and Tornadoes,3/6/2026,3/6/2026,4/1/2026,Pending,,,42 days and counting,"On 4/1, Michigan Gov. Gretchen Whitmer (D) requested Inidividual Assistance for 3 counties and statewide Hazard Mitigation.",42.06654323,-85.13455671,8
New York,Severe Winter Storm,2/22/2026,2/23/2026,3/25/2026,Pending,,,49 days and counting,"On 3/25, New York Gov. Kathy Hochul (D) requested Public Assistance for 3 counties and statewide Hazard Mitigation.",40.84482554,-73.87427101,9
Delaware,Severe Winter Storm,2/22/2026,2/23/2026,3/23/2026,Pending,,,51 days and counting,"On 3/23, Delaware Gov. Matt Meyer (D) requested Public Assistance for 3 counties and statewide Hazard Mitigation.",39.1647833,-75.53112087,10
Chickasaw Nation,Severe Winter Storm,1/23/2026,1/24/2026,3/18/2026,Pending,,,56 days and counting,"On 3/18, the Chickasaw Nation requested Public Assistance and Hazard Mitigation grants for its reservation.",34.49832018,-97.23037877,11
Georgia,Severe Winter Storm,1/22/2026,1/27/2026,3/12/2026,Pending,,,62 days and counting,"On 3/12, Georgia Gov. Brian Kemp (R) requested Public Assistance for 8 counties and statewide Hazard Mitigation. ",34.51235714,-83.5290836,12
Fort Belknap Indian Community,Severe Storms and Straight-line Winds,12/17/2025,12/18/2025,2/13/2026,Pending,,,89 days and counting,"On 2/13, the Fort Belknap Indian Community requested Individual Assistance and Hazard Mitigation grants for its reservation.",48.48323277,-108.7575722,13
Crow Tribe of Montana,Straight-line Winds,12/17/2025,12/20/2025,2/12/2026,Pending,,,90 days and counting,"On 2/12, the Crow Tribe of Montana requested Individual Assistance and Hazard Mitigation grants for its reservation.",45.40865212,-107.6906868,14
Fort Peck Assiniboine & Sioux Tribes,Severe Storms and Straight-line Winds,12/17/2025,12/18/2025,2/11/2026,Pending,,,91 days and counting,"On 2/11, the Fort Peck Assiniboine & Sioux Tribes requested Individual Assistance and Hazard Mitigation grants for the Fort Peck Reservation.",48.25404938,-104.5640186,15
Kentucky,Severe Winter Storm,1/23/2026,2/2/2026,2/5/2026,Pending,,,97 days and counting,"On 2/5, Kentucky Gov. Andy Beshear (D) requested Public Assistance for 18 counties and statewide Hazard Mitigation.",36.75459196,-86.18778699,16
Native Village of Kipnuk,"Severe Storms, Flooding, and Remnants of Typhoon Halong",10/8/2025,10/13/2025,1/11/2026,Pending,,,122 days and counting,"On 1/11, the Native Village of Kipnuk requested Public Assistance and Hazard Mitigation grants for its reservation.",59.93589608,-164.0385282,17
San Carlos Apache Tribe,Severe Storms and Flooding,10/10/2025,10/14/2025,12/15/2025,Pending,,,149 days and counting,"On 12/15, the San Carlos Apache Tribe requested Individual Assistance, Public Assistance, and Hazard Mitigation grants for its reservation.",33.35453838,-110.4526588,18
San Carlos Apache Tribe,Severe Storms and Flooding,9/25/2025,9/27/2025,11/26/2025,Pending,,,168 days and counting,"On 11/26, the San Carlos Apache Tribe requested Individual Assistance, Public Assistance, and Hazard Mitigation grants for its reservation.",33.47887327,-110.2441788,19
Pueblo of Acoma,Severe Storms and Flooding,9/28/2025,9/29/2025,10/22/2025,Rejected (appeal pending),,2/7/2026,108 days (203 days and counting),"On 10/22, the Pueblo of Acoma requested Individual Assistance, Public Assistance, and Hazard Mitigation grants for all of its tribal land.

On 2/7/26, FEMA rejected the tribe's request.

On 4/23, the tribal government submitted an appeal.",34.8968996,-107.5794762,20
Arizona,Severe Storms and Flooding,9/25/2025,9/27/2025,10/24/2025,Rejected (appeal pending),"According to the office of Arizona Gov. Katie Hobbs (D), ""Preliminary damage assessments documented more than $30 million in damages, far exceeding the thresholds historically used to justify federal disaster assistance."" ($13.87 million in FY2026)",12/20/2025,57 days (201 days and counting),"On 10/24, Arizona Gov. Katie Hobbs (D) requested Public Assistance (categories A-G) for 2 counties and statewide Hazard Mitigation.

On 12/20, FEMA rejected Hobbs' request, eliciting criticism from Hobbs and others.

On 1/16/26, Hobbs submitted an appeal.",33.40431174,-110.8761372,21
Commonwealth of Northern Mariana Islands,Typhoon Sinlaku,4/11/2026,4/17/2026,4/19/2026,Approved (partial),Certain types of aid in limbo,4/23/2026,4 days,"On 4/19, Northern Mariana Islands Gov. David Apatang (I) requested an expedited major disaster declaration, including Individual Assistance, Public Assistance, and Hazard Mitigation grants throughout the commonwealth.

On 4/23, FEMA authorized Individual Assistance and Public Assistance for the commonwealth.

No decision about Hazard Mitigation grants has been announced.",15.18476251,145.7464641,22
Colorado,"Lee and Elk Fires, Flooding, and Mudslides",8/2/2025,8/29/2025,9/26/2025,Rejected,"According to the office of Colorado Gov. Jared Polis (D), the $27.5 million and counting in damages ""exceeded FEMA's threshold to approve a federal disaster declaration."" ($10.91 million in FY2025)","4/10/2026
(appeal)

12/20/2025
(original)",196 days (from original request to appeal denial),"On 9/26, Colorado Gov. Jared Polis (D requested Public Assistance (categories A, C, D, F, and G) for Rio Blanco County and statewide Hazard Mitigation.

On 12/20, FEMA rejected Polis' request, eliciting criticism from the governor and others.

On 1/16/26, Polis submitted an appeal.

On 4/13, FEMA rejected Polis' appeal, eliciting criticism from the governor.",40.12288379,-107.9251593,23
Colorado,"Severe Storms, Flooding, Landslides, and Mudslides",10/10/2025,10/14/2025,11/12/2025,Rejected,"According to the office of Colorado Gov. Jared Polis (D), the $13 million and counting in damages ""exceeded FEMA's threshold to approve a federal disaster declaration."" ($11.20 million in FY2026)","4/10/2026
(appeal)

12/20/2025
(original)",149 days (from original request to appeal denial),"On 11/12, Colorado Gov. Jared Polis (D) requested Public Assistance (categories A, B, C, D, F, and G) for 3 counties and statewide Hazard Mitigation.

On 12/20, FEMA rejected Polis' request, eliciting criticism from Polis and others.

On 1/16/26, Polis submitted an appeal.

On 4/13, FEMA rejected Polis' appeal, eliciting criticism from the governor.",37.22577791,-107.5974556,24
Hawaii          ,"Severe Storms, Flooding, Landslides, and Mudslides",3/10/2026,3/24/2026,3/23/2026,Approved (partial),Certain jurisdictions excluded and types of aid denied,4/7/2026,15 days,"On 3/23, Hawaii Gov. Josh Green (D) requested Individual Assistance and Public Assistance (categories A-G) for 4 counties and statewide Hazard Mitigation.

On 4/7, FEMA authorized Individual Assistance and Public Assistance (categories A-F) for 3 counties.

Kauai County appears to have been excluded from Individual Assistance and Public Assistance.

Public Assistance (category G - Parks, Recreational, and Other Facilities) appears to have been denied.

No decision about Hazard Mitigation grants has been announced.",21.56188015,-158.0692477,25
