declarationRequestNumber,region,stateAbbreviation,state,Biden 2020,D Governor,R Governor,Dem led,GOP led,tribalRequest,declarationRequestDate,declarationRequestType,incidentName,requestedIncidentTypes,requestedIncidentBeginDate,requestedIncidentEndDate,currentRequestStatus,requestStatusDate,ihProgramRequested,iaProgramRequested,paProgramRequested,hmProgramRequested,incidentId,incidentBeginDate,id,
21008,4,AL,Alabama                       ,,,1,,1,0,2021-02-12T00:00:00.000Z,Major Disaster,Severe Weather/Tornados,Tornado,2021-01-25T00:00:00.000Z,2021-01-25T00:00:00.000Z,Turndown,2021-03-17T00:00:00.000Z,1,0,0,1,2021020401,2021-01-25T00:00:00.000Z,c3c91fc8-eee3-41e7-acc4-b707c3b74a9e,33
24052,10,AK,Alaska                        ,,,1,,1,0,2024-06-04T00:00:00.000Z,Major Disaster,AK_City of Kivalina Fire,Fire,2024-04-09T00:00:00.000Z,2024-04-09T00:00:00.000Z,Turndown,2024-07-03T00:00:00.000Z,0,0,1,1,2024051501,2024-04-09T00:00:00.000Z,f66f7197-c77d-4801-83fa-025f77f5d5b0,29
24053,10,AK,Alaska                        ,,,1,,1,0,2024-06-04T00:00:00.000Z,Major Disaster,AK_South Tongass VFD Fire,Fire,2024-04-09T00:00:00.000Z,2024-04-09T00:00:00.000Z,Turndown,2024-07-12T00:00:00.000Z,0,0,1,1,2024051502,2024-04-09T00:00:00.000Z,a2a364c7-5482-40db-8ab8-0e8ca6268633,38
24004,10,AK,Alaska                        ,,,1,,1,0,2024-01-24T00:00:00.000Z,Major Disaster,AK_Permafrost Degradation,Other,2023-11-26T00:00:00.000Z,2023-11-27T00:00:00.000Z,Turndown,2024-03-15T00:00:00.000Z,0,0,1,1,2024011801,2023-11-26T00:00:00.000Z,678c323b-560f-42c9-b17c-423610889ed8,51
23117,10,AK,Alaska                        ,,,1,,1,0,2023-09-05T00:00:00.000Z,Major Disaster,AK_Mendenhall Glacier Dam Burst,Dam/Levee Break,2023-08-04T00:00:00.000Z,2023-08-06T00:00:00.000Z,Turndown,2023-09-26T00:00:00.000Z,1,0,1,1,2023081501,2023-08-05T00:00:00.000Z,4e2f8ee7-70bd-4637-8370-1a97e5273b2c,21
24175,9,CA,California                    ,1,1,,1,,0,2024-09-24T00:00:00.000Z,Major Disaster,Park and Borel Fires,Fire,2024-07-24T00:00:00.000Z,2024-08-26T00:00:00.000Z,Turndown,2025-04-11T00:00:00.000Z,1,0,1,1,2024100101,2024-07-24T00:00:00.000Z,19532835-8ec3-4a3a-8664-c6294eccb7f6,199
24038,9,CA,California                    ,1,1,,1,,1,2024-03-21T00:00:00.000Z,Major Disaster,Sycuan Band of Kumeyaay Nation ,Flood,2024-01-21T00:00:00.000Z,2024-01-23T00:00:00.000Z,Turndown,2024-05-24T00:00:00.000Z,0,0,1,1,2024050601,2024-01-21T00:00:00.000Z,f7adea33-bce4-44e8-95a8-7ae6a7bb48a3,64
22100,9,CA,California                    ,1,1,,1,,0,2022-10-26T00:00:00.000Z,Major Disaster,California Extreme Heat Event and Wildfires,Fire,2022-08-29T00:00:00.000Z,,Turndown,2023-05-16T00:00:00.000Z,1,0,1,1,2022100501,2022-08-30T00:00:00.000Z,7485bbcc-a5c2-46be-ae3b-e0c00a793c29,202
24007,4,FL,Florida                       ,,,1,,1,0,2024-02-05T00:00:00.000Z,Major Disaster,Severe Weather,Severe Storm,2024-01-09T00:00:00.000Z,2024-01-09T00:00:00.000Z,Turndown,2024-03-15T00:00:00.000Z,1,0,1,1,2024011101,2024-01-11T00:00:00.000Z,9b87b4a3-ab9c-4b3b-94af-35b360de412f,39
22006,4,FL,Florida                       ,,,1,,1,0,2022-01-24T00:00:00.000Z,Major Disaster,R04 FL Severe Storms and Tornadoes,Tornado,2022-01-16T00:00:00.000Z,2022-01-16T00:00:00.000Z,Turndown,2022-04-24T00:00:00.000Z,1,0,0,0,2022011801,2022-01-16T00:00:00.000Z,8a9f5c9d-2d15-4ad9-9372-632dcb7677f6,90
23055,4,GA,Georgia                       ,1,,1,,,0,2023-05-26T00:00:00.000Z,Major Disaster,Severe Weather,Severe Storm,2023-03-25T00:00:00.000Z,2023-03-27T00:00:00.000Z,Turndown,2023-08-22T00:00:00.000Z,1,0,1,1,2023032302,2023-03-24T00:00:00.000Z,6b3bb3ac-cfb9-4f11-a7d9-01bd34d3591c,88
22092,4,GA,Georgia                       ,1,,1,,,0,2022-10-04T00:00:00.000Z,Major Disaster,"R4 Flooding in Chattooga/Floyd Counties, GA",Flood,2022-09-04T00:00:00.000Z,2022-09-14T00:00:00.000Z,Turndown,2022-12-31T00:00:00.000Z,1,0,0,0,2022090602,2022-09-04T00:00:00.000Z,cb34af83-c228-4dff-9b43-d3ee04f77b36,88
23019,9,HI,Hawaii                        ,1,1,,1,,0,2023-01-20T00:00:00.000Z,Major Disaster,Mauna Loa Volcanic Eruption,Volcanic Eruption,2022-11-27T00:00:00.000Z,2022-12-16T00:00:00.000Z,Turndown,2023-03-01T00:00:00.000Z,0,0,1,1,2022120301,2022-11-28T00:00:00.000Z,ad85354e-e084-48a2-bcb9-dd77129df330,40
