disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,Biden 2020,Trump 2024,D Governor,R Governor,Dem-led,GOP-led,incidentType,D Governor,R Governor,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,designatedIncidentTypes,declarationRequestDate,disasterPageUrl,shapefileUrl,kmzfileUrl,geoJsonUrl,id,hash,lastRefresh
4700,2023-04-04T00:00:00.000Z,SEVERE WINTER STORM,2023-01-30T00:00:00.000Z,2023-02-02T00:00:00.000Z,Major Disaster,AR,Arkansas                      ,,1,,1,,1,Winter Storm,2023-04-04T00:00:00.000Z,2023-04-04T00:00:00.000Z,,6,0,0,1,1,5,2023-03-20T00:00:00.000Z,https://www.fema.gov/disaster/4700,https://gis.fema.gov/maps/dec_4700.zip,https://gis.fema.gov/maps/dec_4700.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4700%27,a79d0a9e-fb82-47cf-8285-4ee7e4d76e42,263ecd0efe8201e93205fa7a0a91fbe028f94e3d,2025-03-11T19:21:45.366Z,,
4707,2023-04-25T00:00:00.000Z,SEVERE WINTER STORMS AND MUDSLIDES,2023-02-14T00:00:00.000Z,2023-03-05T00:00:00.000Z,Major Disaster,CA,California                    ,1,,1,,1,,Winter Storm,2023-04-25T00:00:00.000Z,2023-09-21T00:00:00.000Z,,9,1,0,1,1,"5,M",2023-04-05T00:00:00.000Z,https://www.fema.gov/disaster/4707,https://gis.fema.gov/maps/dec_4707.zip,https://gis.fema.gov/maps/dec_4707.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4707%27,e897dc91-9c43-4d59-afd6-b89a63bf4de6,906f4fd6bd9a3379a8e232ed839fd02f4fa4f018,2025-03-11T19:21:45.366Z,,
4774,2024-04-28T00:00:00.000Z,SEVERE WINTER STORM,2024-01-08T00:00:00.000Z,2024-01-16T00:00:00.000Z,Major Disaster,KS,Kansas                        ,,1,,1,,,Winter Storm,2024-04-29T00:00:00.000Z,2024-06-27T00:00:00.000Z,,7,0,0,1,1,5,2024-04-09T00:00:00.000Z,https://www.fema.gov/disaster/4774,https://gis.fema.gov/maps/dec_4774.zip,https://gis.fema.gov/maps/dec_4774.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4774%27,cc13024f-2da8-4adf-beeb-977a64ebd9f6,60a9741d55ccf69c0be196bf510e2b4095a555a3,2025-03-11T19:21:45.366Z,,
4785,2024-05-24T00:00:00.000Z,SEVERE WINTER STORM,2024-04-03T00:00:00.000Z,2024-04-05T00:00:00.000Z,Major Disaster,ME,Maine                         ,1,,1,,,,Winter Storm,2024-05-24T00:00:00.000Z,2024-05-24T00:00:00.000Z,,1,0,0,1,1,"5,W",2024-05-02T00:00:00.000Z,https://www.fema.gov/disaster/4785,https://gis.fema.gov/maps/dec_4785.zip,https://gis.fema.gov/maps/dec_4785.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4785%27,a1078886-66d8-4e7a-b782-45c9fc1a9cd7,05fb00243fbbe102be98c15ac22fd58c19a2e30f,2025-03-11T19:21:45.366Z,,
4799,2024-07-10T00:00:00.000Z,SEVERE WINTER STORM AND FLOODING,2024-04-03T00:00:00.000Z,2024-04-05T00:00:00.000Z,Major Disaster,NH,New Hampshire                 ,1,,1,,,,Winter Storm,2024-07-10T00:00:00.000Z,2024-07-23T00:00:00.000Z,,1,0,0,1,1,"5,W,F",2024-06-10T00:00:00.000Z,https://www.fema.gov/disaster/4799,https://gis.fema.gov/maps/dec_4799.zip,https://gis.fema.gov/maps/dec_4799.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4799%27,4399d79a-ee2f-4791-b4e3-4ca7d69aebe0,3aa7404870323e959c0783a220d3a32c209f571e,2025-03-25T15:45:47.944Z,,
4760,2024-02-15T00:00:00.000Z,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2023-12-25T00:00:00.000Z,2023-12-27T00:00:00.000Z,Major Disaster,ND,North Dakota                  ,,1,,1,,1,Winter Storm,2024-02-20T00:00:00.000Z,2024-02-20T00:00:00.000Z,,8,0,0,1,1,"2,5",2024-01-26T00:00:00.000Z,https://www.fema.gov/disaster/4760,https://gis.fema.gov/maps/dec_4760.zip,https://gis.fema.gov/maps/dec_4760.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4760%27,11058ca1-2195-4a39-9d73-c7c4ac9ba7e4,bdb66ca3e5c9c899695bdaba0a9b50d053a77de1,2025-03-11T19:21:45.366Z,,
4689,2023-02-27T00:00:00.000Z,SEVERE WINTER STORMS AND SNOWSTORM,2022-12-12T00:00:00.000Z,2022-12-25T00:00:00.000Z,Major Disaster,SD,South Dakota                  ,,1,,1,,1,Winter Storm,2023-02-27T00:00:00.000Z,2023-03-27T00:00:00.000Z,,8,0,0,1,1,"5,S,W",2023-02-09T00:00:00.000Z,https://www.fema.gov/disaster/4689,https://gis.fema.gov/maps/dec_4689.zip,https://gis.fema.gov/maps/dec_4689.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4689%27,8f83bece-599c-41f0-865a-3840ca8dab7a,01aa80231e19bfa3d9ee78492efb15c227e5ac84,2025-03-11T19:21:45.366Z,,
4688,2023-02-20T00:00:00.000Z,SEVERE WINTER STORMS AND SNOWSTORM,2022-12-12T00:00:00.000Z,2022-12-25T00:00:00.000Z,Major Disaster,SD,South Dakota                  ,,1,,1,,1,Winter Storm,2023-02-21T00:00:00.000Z,2023-02-21T00:00:00.000Z,,8,0,0,1,1,"5,S",2023-01-19T00:00:00.000Z,https://www.fema.gov/disaster/4688,https://gis.fema.gov/maps/dec_4688.zip,https://gis.fema.gov/maps/dec_4688.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4688%27,87dce6ee-1adb-4138-a20f-8e0ea9f6b895,ef0c0117131480386149183827aacb4eb02869d7,2025-03-11T19:21:45.366Z,,
4687,2023-02-20T00:00:00.000Z,SEVERE WINTER STORMS AND SNOWSTORM,2022-12-12T00:00:00.000Z,2022-12-25T00:00:00.000Z,Major Disaster,SD,South Dakota                  ,,1,,1,,1,Winter Storm,2023-02-21T00:00:00.000Z,2023-02-21T00:00:00.000Z,,8,0,0,1,1,"5,S",2023-01-13T00:00:00.000Z,https://www.fema.gov/disaster/4687,https://gis.fema.gov/maps/dec_4687.zip,https://gis.fema.gov/maps/dec_4687.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4687%27,131c5e5a-b6f9-41e9-a762-79021d55825a,ad1b39aa897b86d5b6f40403da9b163aeebeb01a,2025-03-11T19:21:45.366Z,,
4691,2023-03-08T00:00:00.000Z,SEVERE WINTER STORM,2022-12-22T00:00:00.000Z,2022-12-27T00:00:00.000Z,Major Disaster,TN,Tennessee                     ,,1,,1,,1,Winter Storm,2023-03-08T00:00:00.000Z,2023-03-08T00:00:00.000Z,,4,0,0,1,1,"5,O,G",2023-02-22T00:00:00.000Z,https://www.fema.gov/disaster/4691,https://gis.fema.gov/maps/dec_4691.zip,https://gis.fema.gov/maps/dec_4691.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4691%27,a1892b8a-62df-4f49-868e-84c3b08925ee,fb4d012267eb63876d6192f6c00facbc71d8de7b,2025-03-25T15:45:47.944Z,,
