disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,Trump 2024,D Governor,R Governor,Dem-led,GOP-led,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,designatedIncidentTypes,declarationRequestDate,disasterPageUrl,shapefileUrl,kmzfileUrl,geoJsonUrl,id,hash,lastRefresh
4893,2025-10-22T00:00:00.000Z,"SEVERE STORMS, FLOODING, AND REMNANTS OF TYPHOON HALONG",2025-10-08T00:00:00.000Z,2025-10-13T00:00:00.000Z,Major Disaster,AK,Alaska                        ,Flood,1,,1,,1,2025-10-23T00:00:00.000Z,2026-02-04T00:00:00.000Z,,10,1,0,1,0,"2,W,F",2025-10-16T00:00:00.000Z,https://www.fema.gov/disaster/4893,https://gis.fema.gov/maps/dec_4893.zip,https://gis.fema.gov/maps/dec_4893.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4893%27,f72d8b1d-ce2f-4655-82cd-e49cd21ae0e3,7caf9cb796b0f0009e4632bca8d6f53cfb2fd7c5,2026-02-04T01:01:17.091Z
4873,2025-05-21T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",2025-04-02T00:00:00.000Z,2025-04-22T00:00:00.000Z,Major Disaster,AR,Arkansas                      ,Flood,1,,1,,1,2025-05-23T00:00:00.000Z,2025-06-24T00:00:00.000Z,,6,1,0,1,0,"W,F,T",2025-05-03T00:00:00.000Z,https://www.fema.gov/disaster/4873,https://gis.fema.gov/maps/dec_4873.zip,https://gis.fema.gov/maps/dec_4873.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4873%27,db0956ed-4d4b-4d6c-ae40-edd84237e230,f5071160cdfc2b76c5010be0b29cdff2da18d9b8,2025-06-24T15:21:58.592Z
4865,2025-05-08T00:00:00.000Z,SEVERE STORMS AND TORNADOES,2025-03-14T00:00:00.000Z,2025-03-15T00:00:00.000Z,Major Disaster,AR,Arkansas                      ,Severe Storm,1,,1,,1,2025-05-13T00:00:00.000Z,2025-05-13T00:00:00.000Z,,6,1,0,0,0,"W,T",2025-03-21T00:00:00.000Z,https://www.fema.gov/disaster/4865,https://gis.fema.gov/maps/dec_4865.zip,https://gis.fema.gov/maps/dec_4865.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4865%27,67b7c43e-4744-4e79-a757-b1ff67e769ef,81b210b7548e3a49b45cdf6c8d410d2a740dc88b,2025-05-14T00:01:33.023Z
4856,2025-01-08T00:00:00.000Z,WILDFIRES AND STRAIGHT-LINE WINDS,2025-01-07T00:00:00.000Z,2025-01-31T00:00:00.000Z,Major Disaster,CA,California                    ,Fire,,1,,1,,2025-01-09T00:00:00.000Z,2025-02-18T00:00:00.000Z,,9,1,0,1,1,"2,R",2025-01-08T00:00:00.000Z,https://www.fema.gov/disaster/4856,https://gis.fema.gov/maps/dec_4856.zip,https://gis.fema.gov/maps/dec_4856.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4856%27,ee718fce-7188-4043-bde7-978e2fbb0ba9,2f558f231382992df3e58041355399476edf8468,2025-03-11T19:21:45.366Z
4882,2025-07-22T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",2025-03-30T00:00:00.000Z,2025-04-09T00:00:00.000Z,Major Disaster,IN,Indiana                       ,Flood,1,,1,,1,2025-07-23T00:00:00.000Z,2025-08-21T00:00:00.000Z,,5,0,0,1,0,"2,W,F,T",2025-05-28T00:00:00.000Z,https://www.fema.gov/disaster/4882,https://gis.fema.gov/maps/dec_4882.zip,https://gis.fema.gov/maps/dec_4882.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4882%27,23faafd8-1d5b-47ee-b812-46f993de8922,3c2fbc8178e80000d05404fcf42ca734f62f99fa,2025-08-21T23:02:00.169Z
4870,2025-05-21T00:00:00.000Z,SEVERE WINTER STORM,2025-03-19T00:00:00.000Z,2025-03-19T00:00:00.000Z,Major Disaster,IA,Iowa                          ,Winter Storm,1,,1,,1,2025-05-23T00:00:00.000Z,2025-05-23T00:00:00.000Z,,7,0,0,1,0,"5,W",2025-04-15T00:00:00.000Z,https://www.fema.gov/disaster/4870,https://gis.fema.gov/maps/dec_4870.zip,https://gis.fema.gov/maps/dec_4870.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4870%27,821babcf-480a-4116-9b34-b0871378bf17,1f5981405bc935689daf41808274c05fffbc798f,2025-05-23T01:21:18.804Z
4897,2025-12-19T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2025-07-17T00:00:00.000Z,2025-07-22T00:00:00.000Z,Major Disaster,KS,Kansas                        ,Severe Storm,1,,1,,,2025-12-20T00:00:00.000Z,2025-12-20T00:00:00.000Z,,7,0,0,1,0,"2,W,F,T",2025-09-17T00:00:00.000Z,https://www.fema.gov/disaster/4897,https://gis.fema.gov/maps/dec_4897.zip,https://gis.fema.gov/maps/dec_4897.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4897%27,ffd80d02-fb1c-46da-8850-a2e73ae026a4,4a4925f96bc07a2bbd893e264435790cba9423f1,2025-12-20T02:21:22.997Z
4891,2025-09-11T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",2025-06-03T00:00:00.000Z,2025-06-07T00:00:00.000Z,Major Disaster,KS,Kansas                        ,Severe Storm,1,,1,,,2025-09-12T00:00:00.000Z,2025-09-12T00:00:00.000Z,,7,0,0,1,0,"2,W,F,T",2025-08-05T00:00:00.000Z,https://www.fema.gov/disaster/4891,https://gis.fema.gov/maps/dec_4891.zip,https://gis.fema.gov/maps/dec_4891.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4891%27,8fb112f0-ff61-4f0b-8873-f1d1a862e24c,dc940b5d96dadefc0725a9e814aa243ef9f0ac7a,2025-09-12T03:01:14.576Z
4883,2025-07-22T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",2025-05-18T00:00:00.000Z,2025-05-19T00:00:00.000Z,Major Disaster,KS,Kansas                        ,Severe Storm,1,,1,,,2025-07-23T00:00:00.000Z,2025-07-23T00:00:00.000Z,,7,0,0,1,0,"2,W,F,T",2025-06-17T00:00:00.000Z,https://www.fema.gov/disaster/4883,https://gis.fema.gov/maps/dec_4883.zip,https://gis.fema.gov/maps/dec_4883.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4883%27,a9d1c141-e366-4eb9-8bc1-1a93ecd93b57,ec5ea0c9e24efbf32359a7ca801e35b52d4b6229,2025-07-23T04:01:33.700Z
4869,2025-05-21T00:00:00.000Z,"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, AND WILDFIRES",2025-03-14T00:00:00.000Z,2025-03-19T00:00:00.000Z,Major Disaster,KS,Kansas                        ,Severe Storm,1,,1,,,2025-05-23T00:00:00.000Z,2025-05-23T00:00:00.000Z,,7,0,0,1,0,"2,5,R,W,F,T",2025-04-14T00:00:00.000Z,https://www.fema.gov/disaster/4869,https://gis.fema.gov/maps/dec_4869.zip,https://gis.fema.gov/maps/dec_4869.kmz,https://gis.fema.gov/geoserver/FEMA/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=FEMA%3ACURRENT_DISASTER_DECLARATIONS&maxFeatures=500&outputFormat=application%2Fjson&CQL_FILTER=dec_number%3D%27DR-4869%27,5de6c01d-6120-4e0a-97a2-b9e8eeee48d3,49e40ce5adf357f6b176490500f2cfec6fdc5504,2025-05-23T14:21:22.967Z
